algo,episode,event_idx,total_ms,find_path_ms,path_points,path_length
AStar,0,0,99.92012300062925,99.91372900185524,283,311.82337649086327
AStar,0,1,70.04764700104715,70.03589300074964,283,311.82337649086327
AStar,0,2,87.99872099916684,87.97129999948083,283,311.82337649086327
AStar,0,3,85.56911900086561,85.5576399990241,283,311.82337649086327
AStar,0,4,88.61571300076321,88.60060599909048,283,311.82337649086327
AStar,0,5,87.17218399760895,87.1608820016263,283,311.82337649086327
AStar,0,6,99.65498299789033,99.64439000032144,281,314.7939392393404
AStar,0,7,100.74524499941617,100.73628299869597,281,314.7939392393404
AStar,0,8,97.68076399996062,97.66918099921895,281,314.7939392393404
AStar,0,9,96.24085599716636,96.22963100264315,281,314.7939392393404
AStar,1,0,61.67960400125594,61.665849996643374,281,289.9411254969543
AStar,1,1,59.82966500232578,59.81901100312825,281,289.9411254969543
AStar,1,2,59.061347998067504,59.04941900007543,281,289.9411254969543
AStar,1,3,61.12456999835558,61.11039899769821,281,289.9411254969543
AStar,1,4,67.18827999793575,67.17700400258764,281,291.59797974644675
AStar,1,5,61.79152999902726,61.77004499841132,281,291.59797974644675
AStar,1,6,59.13834099919768,59.123294999153586,281,291.59797974644675
AStar,1,7,59.225310000329046,59.213453001575544,281,291.59797974644675
AStar,1,8,63.85706199944252,63.84697400062578,281,291.59797974644675
AStar,1,9,62.14689899934456,62.13600399860297,281,291.59797974644675
AStar,2,0,63.083851000556024,63.071913999010576,281,293.25483399593924
AStar,2,1,63.320922999992035,63.310143999842694,281,293.25483399593924
AStar,2,2,60.2819069972611,60.2718440022727,281,293.25483399593924
AStar,2,3,62.29485899893916,62.282822000270244,281,293.25483399593924
AStar,2,4,67.52285700349603,67.51177100159111,281,293.25483399593924
AStar,2,5,63.94963699858636,63.93911800114438,281,293.25483399593924
AStar,2,6,63.215827998647,63.2062330005283,281,293.25483399593924
AStar,2,7,61.774456000421196,61.762479999742936,281,293.25483399593924
AStar,2,8,63.44607099890709,63.43504899996333,281,293.25483399593924
AStar,2,9,60.88195199845359,60.868829998071305,281,293.25483399593924
AStar,3,0,68.519627002388,68.50706299883313,281,291.59797974644675
AStar,3,1,65.63008699959028,65.61777900060406,281,291.59797974644675
AStar,3,2,70.58906000020215,70.57785399956629,281,291.59797974644675
AStar,3,3,65.76362299892935,65.7534520032641,281,291.59797974644675
AStar,3,4,64.00054700134206,63.98998900112929,281,291.59797974644675
AStar,3,5,68.80272900161799,68.79274699895177,281,291.59797974644675
AStar,3,6,69.80112900055246,69.79003499873215,281,291.59797974644675
AStar,3,7,65.79538400183083,65.78468199950294,281,291.59797974644675
AStar,3,8,68.17404400135274,68.1612349981151,281,291.59797974644675
AStar,3,9,66.40106199847651,66.39110700052697,281,291.59797974644675
AStar,4,0,80.46790300068096,80.45315200070036,281,297.39696961967036
AStar,4,1,83.02435599762248,83.01375900191488,281,297.39696961967036
AStar,4,2,78.83871299782186,78.82711499769357,281,297.39696961967036
AStar,4,3,83.8598530026502,83.84848400237388,281,297.39696961967036
AStar,4,4,77.64162500097882,77.63036599862971,281,297.39696961967036
AStar,4,5,85.06000299894367,85.0488679971022,281,297.39696961967036
AStar,4,6,79.17407900094986,79.16323300014483,281,297.39696961967036
AStar,4,7,84.5442979989457,84.53492600165191,281,299.0538238691628
AStar,4,8,58.45580299865105,58.443867001187755,281,299.0538238691628
AStar,4,9,74.70441400073469,74.69348599988734,281,299.0538238691628
AStar,5,0,54.4796159992984,54.46825300168712,281,280.8284271247462
AStar,5,1,49.151120001624804,49.140208000608254,281,280.8284271247462
AStar,5,2,49.78547999780858,49.775615996622946,281,280.8284271247462
AStar,5,3,51.81526099840994,51.80518600172945,281,280.8284271247462
AStar,5,4,49.58304500178201,49.5721430015692,281,280.8284271247462
AStar,5,5,49.183840998011874,49.17249899881426,281,280.8284271247462
AStar,5,6,52.3624560009921,52.35122700105421,281,280.8284271247462
